,index,y
228,1630,9
229,3251,5
230,138,2
231,183,2
232,5780,7
233,4849,5
234,8544,6
235,5601,7
236,6713,2
237,9952,5
238,4549,1
239,3065,3
240,5955,5
241,8094,1
242,5516,0
243,8251,3
244,2742,2
245,7801,4
246,7616,0
247,2072,6
248,6080,1
249,3089,8
250,554,9
251,3918,6
252,8659,4
253,1356,2
254,4453,0
255,3816,2
256,9251,6
257,6691,8
258,4168,9
259,1394,6
260,521,7
261,9240,8
262,7921,4
263,2418,8
264,8924,2
265,2367,4
266,7069,0
267,941,1
268,3090,4
269,549,5
270,4760,3
271,9720,8
272,1438,5
273,430,2
274,4502,7
275,3374,6
276,5584,0
277,5629,6
278,5232,3
279,3207,0
280,7873,1
281,9210,7
282,3257,7
283,5257,8
284,1422,8
285,7983,6
286,6179,8
287,7184,5
288,7329,1
289,7292,5
290,4044,6
291,2947,1
292,9985,5
293,8383,2
294,9379,7
295,5821,8
296,1116,5
297,5862,2
298,2115,5
299,3140,8
300,4607,1
301,3072,8
302,6033,2
303,1105,4
304,7102,0
305,3093,7
306,984,7
307,6804,9
308,2712,1
309,6709,3
310,4614,3
311,1869,8
312,4123,0
313,8829,0
314,3494,0
315,435,7
316,5654,4
317,8639,7
318,4731,4
319,8086,4
320,4310,4
321,6081,0
322,113,2
323,5710,6
324,1346,3
325,8001,1
326,8045,5
327,294,3
328,3310,6
329,8217,9
330,4637,3
331,3995,7
332,1442,3
333,7044,4
334,7458,2
335,5486,3
336,4803,7
337,4841,1
338,8476,0
339,3143,3
340,2988,5
341,7374,3
342,9557,5
343,8955,1
344,8959,1
345,9199,9
346,9664,0
347,7238,4
348,3425,0
349,3618,4
350,4914,3
351,1099,2
352,9523,5
353,2275,6
354,5236,0
355,6859,3
356,9078,4
357,5369,4
358,8522,1
359,827,6
360,2352,2
361,1042,5
362,846,2
363,7843,0
364,9748,3
365,5116,6
366,9318,4
367,5068,4
368,4257,6
369,1517,1
370,7331,5
371,247,9
372,3903,0
373,2912,2
374,1119,7
375,3469,9
376,3644,9
377,9130,8
378,5346,7
379,5391,9
380,7872,9
381,8387,0
382,4298,9
383,5155,3
384,4902,4
385,3962,4
386,2771,7
387,7264,4
388,5103,7
389,7653,8
390,6474,8
391,1945,4
392,9999,7
393,9783,2
394,1852,2
395,4840,0
396,6334,0
397,266,2
398,3284,4
399,1136,9
400,869,1
401,2008,9
402,7626,1
403,7734,1
404,837,2
405,4202,0
406,5072,6
407,5055,0
408,2213,4
409,1674,4
410,5802,6
411,3603,6
412,5442,2
413,2726,5
414,209,9
415,8574,4
416,8226,8
417,8677,3
418,7411,5
419,5179,5
420,6906,1
421,9258,9
422,5929,7
423,7722,7
424,7327,4
425,2541,1
426,3217,7
427,5,6
428,9151,0
429,8276,9
430,6250,4
431,6591,5
432,2566,2
433,6320,0
434,1910,4
435,1242,8
436,2613,6
437,8779,7
438,460,5
439,7586,2
440,4692,8
441,4866,9
442,6605,6
443,7910,3
444,9228,3
445,6201,3
446,5161,3
447,3553,1
448,1294,8
449,8023,3
450,3810,3
451,352,0
452,2309,6
453,1209,7
454,6498,4
455,4008,8
456,1440,0
457,6841,1
458,8199,4
459,3372,1
460,7208,1
461,3929,3
462,2252,3
463,1879,0
464,1756,2
465,587,4
466,3970,9
467,8675,7
468,8996,3
469,6019,6
470,6097,5
471,9107,5
472,4792,0
473,475,7
474,6682,4
475,5487,6
476,4473,4
477,6420,7
478,3926,9
479,8691,6
480,1506,5
481,1802,2
482,489,0
483,9084,5
484,3863,2
485,3549,1
486,4916,6
487,9503,2
488,9441,4
489,6742,1
490,8923,6
491,585,9
492,5172,4
493,8047,0
494,1207,4
495,3627,4
496,4848,1
497,2436,6
498,3505,4
499,8253,2
500,2116,9
501,5158,4
502,5863,4
503,4469,5
504,8205,2
505,5667,1
506,65,2
507,4122,6
508,1502,2
509,4553,3
510,3005,0
511,688,3
512,8593,1
513,3320,2
514,2871,3
515,8309,4
516,2043,8
517,5429,6
518,2862,6
519,6341,2
520,8851,0
521,5023,2
522,7829,2
523,7697,5
524,9680,8
525,8393,8
526,227,4
527,7933,3
528,3939,9
529,8358,0
530,5578,3
531,6449,8
532,3179,6
533,1667,6
534,3225,9
535,8646,2
536,6587,3
537,5824,7
538,385,8
539,5691,2
540,9024,0
541,726,1
542,8245,3
543,5840,2
544,9198,3
545,2372,5
546,7600,8
547,909,8
548,6184,1
549,8951,8
550,8866,1
551,6657,7
552,8880,1
553,4765,3
554,3622,5
555,5347,1
556,9248,0
557,9860,0
558,1466,7
559,8515,8
560,3436,4
561,7886,7
562,347,6
563,9501,6
564,186,6
565,6829,8
566,6664,4
567,4991,0
568,8087,2
569,4265,6
570,1161,0
571,7645,0
572,8201,3
573,6361,0
574,5332,9
575,476,6
576,1925,1
577,5729,8
578,4924,7
579,9909,1
580,5679,0
581,9496,1
582,4788,6
583,2475,6
584,7814,7
585,8947,4
586,9216,6
587,1639,9
588,1951,7
589,3056,4
590,9221,7
591,7215,1
592,6675,2
593,4002,4
594,5910,2
595,1651,0
596,1353,3
597,3057,6
598,8606,1
599,1499,8
600,8456,4
601,181,5
602,8266,5
603,9903,6
604,9822,0
605,632,6
606,3417,7
607,1661,6
608,9643,9
609,6152,6
610,2799,8
611,2338,6
612,5483,1
613,1550,6
614,9170,0
615,4742,8
616,2048,8
617,9804,5
618,7202,3
619,2232,0
620,2097,2
621,5128,3
622,5414,4
623,6199,5
624,4185,7
625,9414,5
626,8146,8
627,5742,4
628,4436,4
629,3472,7
630,8630,5
631,5115,5
632,438,3
633,1334,3
634,2068,3
635,7729,9
636,7239,4
637,2419,4
638,1469,7
639,1494,7
640,233,8
641,4835,9
642,310,8
643,9991,0
644,1784,1
645,11,9
646,6832,1
647,8968,8
648,5326,7
649,7999,6
650,2348,4
651,1501,2
652,4561,3
653,6970,0
654,2330,0
655,5067,9
656,4189,1
657,5587,0
658,942,7
659,4608,4
660,7907,6
661,1185,1
662,7050,8
663,4778,6
664,3821,8
665,4536,9
666,2233,3
667,3240,4
668,3936,6
669,1851,0
670,7096,0
671,5964,9
672,5377,5
673,3649,3
674,4152,5
675,4708,3
676,4704,9
677,2335,5
678,2194,8
679,7551,6
680,6965,6
681,5082,6
682,7647,6
683,2577,4
684,4842,2
685,8419,7
686,1322,0
687,1510,8
688,1944,4
689,9895,4
690,7638,1
691,3210,9
692,5042,2
693,1664,0
694,5580,5
695,2746,2
696,4462,2
697,6326,7
698,7706,8
699,5683,6
700,6043,5
701,737,4
702,5689,3
703,2000,1
704,269,0
705,60,7
706,764,1
707,1861,3
708,7984,8
709,8520,8
710,5952,9
711,6881,2
712,6785,6
713,1994,8
714,7334,5
715,457,5
716,7016,3
717,6221,0
718,5212,5
719,3356,4
720,4721,1
721,1669,6
722,6967,4
723,3362,1
724,9454,3
725,3862,4
726,1642,5
727,3940,6
728,7438,5
729,1159,8
730,201,1
731,8446,3
732,3881,7
733,6803,6
734,7628,4
735,7489,3
736,3490,0
737,9585,4
738,5793,8
739,3099,9
740,9778,3
741,9834,8
742,3075,6
743,3906,3
744,2527,8
745,4534,2
746,6077,0
747,7772,3
748,9726,9
749,3173,9
750,6703,2
751,8989,4
752,8431,8
753,2830,6
754,2287,2
755,6069,0
756,8930,3
757,2543,3
758,7193,8
759,5069,9
760,7587,7
761,4899,2
762,2844,4
763,2636,1
764,1648,8
765,8518,9
766,883,0
767,8986,6
768,7220,9
769,1979,3
770,7642,9
771,1615,7
772,9237,7
773,2412,6
774,8505,5
775,3869,8
776,9887,5
777,2010,7
778,1460,6
779,4118,0
780,2088,7
781,2356,8
782,4599,8
783,1487,9
784,571,7
785,887,1
786,4015,1
787,6710,3
788,6813,6
789,4405,6
790,10,0
791,8075,8
792,8397,0
793,8554,0
794,1094,6
795,3626,9
796,9723,7
797,5668,7
798,7782,8
799,9995,8
800,237,0
801,3503,4
802,5176,3
803,9853,5
804,4660,7
805,258,0
806,1547,2
807,8091,7
808,2754,9
809,5426,5
810,9329,7
811,4404,3
812,4180,0
813,3882,1
814,2366,9
815,759,1
816,8666,0
817,3793,6
818,8609,6
819,1508,8
820,1514,0
821,1156,1
822,4438,2
823,6689,8
824,4829,5
825,6505,4
826,1795,6
827,5159,6
828,459,6
829,350,9
830,7977,8
831,4756,6
832,2240,9
833,1503,4
834,3209,7
835,5779,3
836,5554,9
837,3078,8
838,3899,6
839,5829,4
840,8762,8
841,4355,0
842,6393,3
843,2943,1
844,719,9
845,5025,5
846,7661,9
847,6150,1
848,2020,9
849,359,0
850,955,7
851,4805,5
852,6573,7
853,3131,7
854,7316,1
855,2485,6
856,6089,7
857,3845,0
858,5365,8
859,5989,8
860,2495,9
861,6981,2
862,2546,8
863,2656,9
864,5916,9
865,4801,2
866,84,2
867,6352,2
868,5454,0
869,4680,9
870,6023,5
871,9885,8
872,4877,6
873,762,6
874,5458,3
875,3546,5
876,7225,1
877,7270,9
878,8511,2
879,3367,7
880,6932,9
881,1055,5
882,1389,5
883,1195,6
884,2740,1
885,147,2
886,1319,0
887,2498,3
888,6134,3
889,7637,8
890,5177,4
891,5447,5
892,2705,8
893,1303,4
894,6167,9
895,4537,3
896,8767,7
897,9457,1
898,4948,1
899,1234,1
900,4349,0
901,286,1
902,6989,7
903,4831,1
904,5844,0
905,5797,5
906,684,9
907,9238,9
908,636,8
909,5437,0
910,1253,8
911,9728,2
912,937,5
913,9990,7
914,4167,0
915,7832,8
916,4101,2
917,1223,8
918,633,8
919,5987,3
920,6506,5
921,7140,4
922,5814,8
923,1308,5
924,8552,6
925,6106,2
926,6701,1
927,7027,5
928,8883,8
929,8042,7
930,67,2
931,5282,4
932,4476,1
933,105,1
934,257,0
935,4106,3
936,8602,8
937,8272,9
938,7672,6
939,8105,0
940,1157,7
941,6410,1
942,7892,1
943,7490,4
944,6477,4
945,2134,4
946,2847,8
947,2210,2
948,335,9
949,1290,5
950,5563,1
951,306,8
952,7013,1
953,3542,9
954,2600,8
955,5497,3
956,5272,3
957,1037,7
958,4483,2
959,4150,6
960,1019,5
961,680,9
962,7765,8
963,525,5
964,5195,4
965,6292,6
966,386,7
967,2353,4
968,4201,1
969,4583,7
970,6333,3
971,483,5
972,6327,4
973,8837,1
974,6629,0
975,2052,8
976,8180,4
977,5424,3
978,5357,0
979,9647,3
980,1256,9
981,2903,2
982,1455,6
983,4989,6
984,2228,7
985,1905,3
986,7740,4
987,9158,8
988,4212,1
989,4573,4
990,1984,7
991,103,3
992,2310,6
993,829,3
994,2928,1
995,2883,2
996,801,1
997,9986,8
998,2924,1
999,4431,1
1000,2065,2
1001,6476,0
1002,3096,7
1003,728,6
1004,7726,4
1005,9516,9
1006,6315,6
1007,1809,8
1008,1276,5
1009,692,2
1010,6181,8
1011,8490,3
1012,2829,3
1013,6853,4
1014,5412,6
1015,2838,1
1016,3034,2
1017,711,8
1018,812,7
1019,9247,9
1020,2623,4
1021,2145,7
1022,4011,7
1023,6893,3
1024,3606,3
1025,2679,0
1026,5382,0
1027,2411,0
1028,7303,8
1029,1124,3
1030,2077,0
1031,4963,3
1032,7361,8
1033,3069,4
1034,7146,0
1035,9499,0
1036,9435,2
1037,9603,2
1038,3332,7
1039,5114,7
1040,7278,5
1041,6248,2
1042,6549,0
1043,1881,9
1044,9041,5
1045,3880,6
1046,7306,4
1047,3228,3
1048,2932,9
1049,9405,8
1050,1166,3
1051,2058,0
1052,3958,9
1053,7426,7
1054,2922,3
1055,426,3
1056,1655,8
1057,360,9
1058,8250,6
1059,5466,8
1060,7562,2
1061,4195,3
1062,9738,6
1063,7248,4
1064,5596,9
1065,9586,5
1066,1921,2
1067,5812,4
1068,7232,9
1069,3809,4
1070,2696,2
1071,5919,4
1072,7833,8
1073,4983,6
1074,1087,6
1075,8496,0
1076,8289,5
1077,4219,0
1078,9425,6
1079,4091,9
1080,365,4
1081,4903,2
1082,7358,8
1083,3703,6
1084,6854,0
1085,1625,3
1086,9613,4
1087,9709,0
1088,8170,5
1089,2215,0
1090,9605,5
1091,8888,8
1092,7868,8
1093,1911,4
1094,3531,8
1095,1897,8
1096,7448,9
1097,528,4
1098,1476,7
1099,5699,4
1100,7914,7
1101,7011,7
1102,2594,0
1103,8033,3
1104,3891,1
1105,3165,1
1106,7370,3
1107,8435,3
1108,4307,3
1109,8208,8
1110,3352,2
1111,1419,8
1112,9242,7
1113,1010,0
1114,1251,2
1115,1938,8
1116,974,7
1117,9422,3
1118,9277,3
1119,8274,6
1120,1782,3
1121,2385,4
1122,9587,7
1123,7752,9
1124,3351,1
1125,4552,5
1126,4255,9
1127,1767,2
1128,7608,5
1129,4029,4
1130,9827,4
1131,876,4
1132,9410,5
1133,5986,3
1134,3236,5
1135,369,1
1136,4354,7
1137,4159,4
1138,5757,4
1139,2638,4
1140,1335,1
1141,7998,2
1142,6962,7
1143,2469,9
1144,2603,0
1145,2978,2
1146,3634,3
1147,4069,5
1148,2731,5
1149,2733,3
1150,1407,8
1151,2781,7
1152,6850,6
1153,7751,7
1154,3564,9
1155,5493,3
1156,1098,1
1157,6455,6
1158,1215,7
1159,9663,1
1160,6462,0
1161,43,6
1162,5157,6
1163,9335,4
1164,7103,0
1165,168,5
1166,9865,1
1167,5024,1
1168,5763,9
1169,7123,6
1170,4454,6
1171,669,3
1172,5185,3
1173,1293,4
1174,7380,7
1175,2413,4
1176,646,3
1177,5306,3
1178,445,7
1179,2759,3
1180,6980,0
1181,7228,3
1182,7950,9
1183,9325,6
1184,2511,8
1185,5809,0
1186,2756,9
1187,9960,2
1188,4709,8
1189,7155,9
1190,116,0
1191,8368,6
1192,953,1
1193,3693,6
1194,6154,4
1195,8643,0
1196,3746,7
1197,4126,0
1198,5492,2
1199,740,2
1200,6331,0
1201,3765,0
1202,4766,1
1203,81,1
1204,2019,9
1205,8991,0
1206,8741,1
1207,5322,4
1208,8535,7
1209,9383,9
1210,341,6
1211,4485,3
1212,7071,1
1213,3594,3
1214,8591,6
1215,7685,9
1216,9581,7
1217,7500,6
1218,1040,7
1219,3651,0
1220,4273,5
1221,452,7
1222,1660,3
1223,5610,8
1224,1832,6
1225,4183,7
1226,1604,1
1227,9776,2
1228,3241,7
1229,5340,3
1230,8262,0
1231,7299,6
1232,6479,4
1233,7964,1
1234,3197,6
1235,5655,3
1236,5019,1
1237,9016,1
1238,5240,1
1239,2783,0
1240,1175,9
1241,7720,5
1242,4741,1
1243,3945,5
1244,4898,6
1245,3868,5
1246,1748,0
1247,2920,2
1248,1141,1
1249,6365,7
1250,5830,5
1251,645,1
1252,4230,6
1253,5052,6
1254,5853,5
1255,4046,7
1256,5882,1
1257,6047,0
1258,980,2
1259,7692,0
1260,1829,1
1261,5012,6
1262,6586,6
1263,1071,6
1264,3661,1
1265,4943,6
1266,5078,8
1267,6402,8
1268,1966,7
1269,9104,4
1270,3304,2
1271,1560,7
1272,8265,0
1273,949,8
1274,1118,4
1275,9686,2
1276,6260,2
1277,6602,8
1278,6342,8
1279,6073,2
1280,7968,8
1281,4365,9
1282,5146,0
1283,120,8
1284,1627,9
1285,1343,0
1286,4712,4
1287,2101,6
1288,4166,1
1289,6458,2
1290,6499,7
1291,3792,0
1292,4259,5
1293,7141,5
1294,6723,5
1295,6878,5
1296,137,7
1297,7219,7
1298,7108,2
1299,27,0
1300,4382,7
1301,263,7
1302,517,9
1303,4690,2
1304,1211,6
1305,7437,3
1306,5846,5
1307,1233,4
1308,4794,4
1309,3098,4
1310,3457,4
1311,5897,4
1312,3134,7
1313,4041,7
1314,2199,2
1315,4072,5
1316,1134,1
1317,3525,2
1318,2059,9
1319,1086,4
1320,4769,8
1321,1922,5
1322,918,8
1323,3130,3
1324,6650,0
1325,9566,9
1326,8375,4
1327,3112,0
1328,3028,1
1329,1390,6
1330,2607,1
1331,2239,7
1332,4071,3
1333,732,7
1334,7007,9
1335,1611,3
1336,5135,1
1337,9086,0
1338,3383,8
1339,134,1
1340,8847,5
1341,6635,6
1342,5018,4
1343,3776,9
1344,1249,4
1345,3604,2
1346,4650,6
1347,5403,7
1348,2399,8
1349,7841,6
1350,7482,4
1351,6748,0
1352,8035,1
1353,7465,0
1354,570,6
1355,3135,7
1356,6976,3
1357,9844,5
1358,9953,7
1359,8749,5
1360,8366,1
1361,1169,7
1362,1687,8
1363,7754,0
1364,8462,2
1365,911,3
1366,9131,3
1367,2750,5
1368,7651,4
1369,8109,2
1370,2494,5
1371,2627,7
1372,2442,4
1373,2765,9
1374,8817,4
1375,5730,5
1376,9528,0
1377,3378,4
1378,7778,0
1379,6747,8
1380,1515,2
1381,8178,9
1382,7756,5
1383,5249,8
1384,7574,3
1385,9484,0
1386,2161,5
1387,8081,6
1388,4182,5
1389,4303,5
1390,5463,5
1391,1070,3
1392,1391,7
1393,4911,8
1394,2230,3
1395,8965,4
1396,5854,4
1397,275,5
1398,5345,4
1399,747,6
1400,5771,2
1401,8006,9
1402,7618,3
1403,5881,3
1404,6059,9
1405,1127,8
1406,492,8
1407,9390,7
1408,8009,5
1409,6791,7
1410,3126,9
1411,6942,3
1412,4859,6
1413,2038,2
1414,5441,5
1415,7323,3
1416,9114,8
1417,6076,7
1418,799,2
1419,1172,2
1420,5287,7
1421,6837,5
1422,9639,2
1423,8572,0
1424,1369,8
1425,4912,1
1426,5789,2
1427,2985,2
1428,4734,4
1429,2576,2
1430,7078,7
1431,298,0
1432,7861,0
1433,5570,5
1434,5815,3
1435,9564,9
1436,4648,6
1437,9026,9
1438,8938,1
1439,951,9
1440,8854,4
1441,5975,9
1442,5785,2
1443,2692,8
1444,4570,9
1445,7224,3
1446,5664,6
1447,7201,4
1448,7304,2
1449,6885,0
1450,3560,1
1451,3363,2
1452,5954,8
1453,3532,5
1454,7622,9
1455,4818,3
1456,9715,4
1457,9373,1
1458,5145,4
1459,2162,5
1460,8562,2
1461,254,4
1462,1372,1
1463,316,7
1464,9612,4
1465,1434,0
1466,739,3
1467,2961,4
1468,4234,2
1469,3534,2
1470,4879,6
1471,6890,5
1472,7715,1
1473,9168,2
1474,6216,5
1475,3300,4
1476,4019,7
1477,1406,9
1478,8343,3
1479,3011,3
1480,6576,7
1481,4606,0
1482,8249,1
1483,6135,3
1484,8292,9
1485,541,7
1486,2881,7
1487,425,9
1488,6704,1
1489,6325,7
1490,5895,6
1491,3949,5
1492,4294,0
1493,2670,9
1494,777,6
1495,8760,8
1496,9602,0
1497,5037,0
1498,3023,3
1499,6702,8
1500,1668,9
1501,4133,2
1502,854,0
1503,6491,0
1504,9003,3
1505,4361,8
1506,8916,6
1507,8183,3
1508,5999,2
1509,511,6
1510,8197,0
1511,8372,1
1512,8928,4
1513,3027,1
1514,1801,4
1515,4791,9
1516,7284,0
1517,4396,9
1518,774,0
1519,2949,3
1520,1258,1
1521,4479,7
1522,5657,2
1523,516,8
1524,442,9
1525,6225,3
1526,1755,7
1527,5692,5
1528,4020,8
1529,3171,0
1530,7377,3
1531,623,2
1532,7019,2
1533,5765,9
1534,5151,9
1535,5592,3
1536,4203,2
1537,407,1
1538,5803,1
1539,2887,9
1540,4933,3
1541,3736,3
1542,6169,5
1543,7068,2
1544,2975,9
1545,5244,2
1546,1230,5
1547,330,1
1548,9731,2
1549,9615,6
1550,2892,0
1551,710,6
1552,6960,9
1553,4784,0
1554,1430,8
1555,2616,1
1556,9010,8
1557,9132,2
1558,4751,6
1559,2958,0
1560,3192,5
1561,9543,2
1562,8813,1
1563,1379,7
1564,6008,3
1565,5389,4
1566,9412,8
1567,4917,5
1568,7294,5
1569,3947,2
1570,164,8
1571,884,9
1572,6982,1
1573,697,2
1574,3480,2
1575,4657,7
1576,4762,1
1577,6968,8
1578,4636,8
1579,976,6
1580,5129,2
1581,3652,2
1582,9166,6
1583,4088,7
1584,0,3
1585,7566,9
1586,3082,7
1587,766,7
1588,2292,5
1589,4236,1
1590,7528,5
1591,7180,6
1592,5605,3
1593,1448,4
1594,5505,4
1595,8855,4
1596,3865,7
1597,943,4
1598,8306,6
1599,2055,5
1600,756,6
1601,3902,9
1602,2381,5
1603,5525,3
1604,8423,6
1605,6374,9
1606,7556,2
1607,8379,8
1608,5942,4
1609,5890,3
1610,8657,6
1611,4770,9
1612,5149,6
1613,106,3
1614,5540,5
1615,6912,3
1616,8121,0
1617,3121,9
1618,1229,1
1619,9653,6
1620,1049,4
1621,6443,6
1622,8143,9
1623,9163,4
1624,5958,9
1625,307,2
1626,3013,3
1627,1999,5
1628,3742,9
1629,3018,5
1630,9128,4
1631,1364,4
1632,6809,6
1633,9303,9
1634,8577,3
1635,5386,1
1636,832,2
1637,5878,4
1638,1043,2
1639,3387,3
1640,3642,1
1641,4609,8
1642,4729,2
1643,2394,6
1644,4077,3
1645,1528,2
1646,5182,1
1647,1718,0
1648,9211,1
1649,874,3
1650,9811,1
1651,8919,7
1652,5639,3
1653,3226,8
1654,3388,6
1655,6433,8
1656,4068,8
1657,9004,7
1658,2530,6
1659,672,6
1660,2937,3
1661,7250,8
1662,2142,1
1663,6021,3
1664,9592,1
1665,3268,5
1666,6538,3
1667,4735,8
1668,891,6
1669,6558,6
1670,6395,8
1671,2641,4
1672,7366,2
1673,9917,2
1674,34,9
1675,133,9
1676,6321,8
1677,8125,8
1678,3985,7
1679,7519,2
1680,7853,3
1681,4170,1
1682,7774,0
1683,3063,0
1684,1386,3
1685,3991,2
1686,3659,6
1687,7453,0
1688,3951,1
1689,3229,9
1690,1351,7
1691,7073,9
1692,7839,3
1693,470,3
1694,93,6
1695,9286,7
1696,3830,5
1697,4425,1
1698,4373,0
1699,5065,0
1700,2521,9
1701,4507,5
1702,1011,8
1703,3083,5
1704,1489,6
1705,7660,7
1706,129,2
1707,1465,9
1708,1688,6
1709,6933,0
1710,151,9
1711,8430,9
1712,6782,5
1713,5253,0
1714,2483,2
1715,8884,0
1716,2864,5
1717,1894,3
1718,9974,1
1719,6945,5
1720,1025,5
1721,7797,3
1722,7118,5
1723,8434,9
1724,2003,5
1725,3515,8
1726,8331,3
1727,2789,9
1728,1340,1
1729,7293,7
1730,8891,9
1731,9662,1
1732,8655,8
1733,77,3
1734,2438,1
1735,9343,8
1736,550,5
1737,8605,6
1738,6750,4
1739,1300,4
1740,8713,2
1741,9485,7
1742,8247,6
1743,7445,6
1744,3829,8
1745,3270,8
1746,9197,1
1747,6417,1
1748,2558,4
1749,8701,8
1750,1778,8
1751,4063,7
1752,1426,7
1753,6031,5
1754,5295,0
1755,4886,3
1756,9777,9
1757,3820,0
1758,3954,5
1759,3501,9
1760,1930,1
1761,735,4
1762,3678,1
1763,4513,4
1764,7908,9
1765,1059,8
1766,1302,6
1767,2006,7
1768,7087,7
1769,8913,8
1770,8233,4
1771,9679,2
1772,5481,7
1773,4781,7
1774,5373,2
1775,2982,4
1776,6768,2
1777,3536,0
1778,9443,5
1779,3762,1
1780,3169,9
1781,4518,9
1782,9205,4
1783,9801,6
1784,1279,8
1785,1665,6
1786,7021,1
1787,6569,8
1788,3680,0
1789,9057,8
1790,5181,1
1791,3042,8
1792,6733,5
1793,5243,1
1794,952,6
1795,1817,6
1796,5361,3
1797,3562,8
1798,4009,2
1799,2246,9
1800,9611,8
1801,1937,1
1802,5328,0
1803,9137,2
1804,3139,2
1805,8802,6
1806,25,2
1807,2457,6
1808,7899,7
1809,6186,9
1810,3873,9
1811,1793,5
1812,5944,2
1813,9928,5
1814,6688,1
1815,4980,1
1816,3513,3
1817,556,6
1818,7394,1
1819,119,7
1820,5138,8
1821,5303,5
1822,6870,7
1823,1329,5
1824,716,3
1825,6470,1
1826,3842,8
1827,6880,2
1828,8380,9
1829,957,3
1830,7273,4
1831,5109,9
1832,5990,8
1833,9288,8
1834,3392,1
1835,7767,9
1836,4003,2
1837,383,9
1838,5577,2
1839,9812,3
1840,789,8
1841,9983,0
1842,1872,5
1843,5491,0
1844,4862,3
1845,634,7
1846,1400,5
1847,3174,2
1848,4145,8
1849,4965,3
1850,6697,2
1851,7222,8
1852,7028,9
1853,6281,1
1854,9395,7
1855,8074,7
1856,374,2
1857,1,8
1858,5028,9
1859,7176,8
1860,7274,1
1861,2444,3
1862,2223,8
1863,9319,3
1864,2284,8
1865,234,8
1866,5228,3
1867,768,5
1868,9134,5
1869,6233,7
1870,4567,4
1871,8540,4
1872,6807,7
1873,6957,6
1874,2151,5
1875,1114,9
1876,5118,2
1877,1027,0
1878,7540,5
1879,9067,9
1880,7952,3
1881,6625,4
1882,6245,6
1883,2980,8
1884,2710,7
1885,8915,9
1886,3767,6
1887,4858,2
1888,6144,7
1889,7285,1
1890,9916,1
1891,7563,9
1892,6276,7
1893,8747,2
1894,4037,0
1895,1239,5
1896,7165,0
1897,3211,0
1898,353,2
